calendar_day,avg_consumption,avg_weekday_consumption,avg_weekend_consumption
11-27,1449.7777777777778,1550.5,1248.3333333333333
11-28,1485.0,1566.0,1323.0
11-29,1493.5555555555557,1560.857142857143,1258.0
11-30,1538.5555555555557,1569.625,1290.0
12-01,1502.5555555555557,1563.2857142857142,1290.0
12-02,1476.111111111111,1554.0,1320.3333333333333
12-03,1461.6666666666667,1592.4,1298.25
12-04,1482.7777777777778,1577.8333333333333,1292.6666666666667
12-05,1494.4444444444443,1579.3333333333333,1324.6666666666667
12-06,1508.111111111111,1584.142857142857,1242.0
12-07,1552.7777777777778,1574.5,1379.0
12-08,1516.111111111111,1566.2857142857142,1340.5
12-09,1475.3333333333333,1552.3333333333333,1321.3333333333333
12-10,1447.4444444444443,1582.8,1278.25
12-11,1474.2222222222222,1569.6666666666667,1283.3333333333333
12-12,1477.111111111111,1551.8333333333333,1327.6666666666667
12-13,1488.888888888889,1564.5714285714287,1224.0
12-14,1530.2222222222222,1551.25,1362.0
12-15,1494.2222222222222,1537.4285714285713,1343.0
12-16,1455.6666666666667,1524.1666666666667,1318.6666666666667
12-17,1416.2222222222222,1513.0,1295.25
12-18,1434.3333333333333,1500.6666666666667,1301.6666666666667
12-19,1439.6666666666667,1518.6666666666667,1281.6666666666667
12-20,1413.3333333333333,1480.5714285714287,1178.0
12-21,1417.111111111111,1441.125,1225.0
12-22,1366.111111111111,1411.0,1209.0
12-23,1284.0,1321.0,1210.0
12-24,1146.3333333333333,1164.8,1123.25
12-25,1085.5555555555557,1082.1666666666667,1092.3333333333333
12-26,1106.2222222222222,1097.8333333333333,1123.0
12-27,1222.888888888889,1243.7142857142858,1150.0
12-28,1249.3333333333333,1261.125,1155.0
12-29,1228.3333333333333,1240.4285714285713,1186.0
12-30,1217.111111111111,1246.3333333333333,1158.6666666666667
12-31,1147.888888888889,1176.6,1112.0
